Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 1,0.569317382125264,0.5645358647600962,0.5789172554030033,0.6730157615702923,0.4636317587664605,0.6132530002642688,0.5137415901659357
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 2,0.5787473610133709,0.5828736389852518,0.5728959082760711,0.6718621492401827,0.4779961562465439,0.6240662345535584,0.5209604896479556
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 3,0.5686136523574947,0.5717763630588,0.5655152823639854,0.6556811944666681,0.476829001533455,0.6103093097261308,0.5165432712427478
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 4,0.5631245601688951,0.5530809923850356,0.5819951505421925,0.6793383366612471,0.447670192077375,0.6089117614950987,0.5048196422297591
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 5,0.5781843771991555,0.5829062434260622,0.5735076799967399,0.6707960815748539,0.47970116418064634,0.6229485748908908,0.5212473607410836
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 1,0.5677691766361717,0.5747115956392619,0.5585425058516564,0.6564741995098812,0.4719237399235287,0.6124512113230093,0.5109564876164139
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 2,0.5611541168191414,0.564102160186292,0.5569624835435405,0.6561355269546889,0.4603342837808831,0.6065018202320381,0.5038793888412982
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 3,0.5771991555242787,0.5815443389643893,0.5720078540703006,0.6618473388922087,0.48600574100770233,0.618652035408231,0.5247570526628627
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 4,0.5757916959887404,0.5765176775459551,0.5770992725471806,0.6761664903670396,0.4701487314273898,0.6216045552487707,0.5168816233456962
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 5,0.5764954257565096,0.5715684143913841,0.5847390041257143,0.679354603950045,0.4696329949195528,0.6205759908069837,0.5205112393659518
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 1,0.5801548205489093,0.5842158586845659,0.5757072399642766,0.665936557109571,0.48831608898733264,0.6219022791606983,0.5276866841344219
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 2,0.5724137931034482,0.5671136247647331,0.5823450720597483,0.6707516835588637,0.4719920301433834,0.6139067889551656,0.5202182526331861
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 3,0.5742434904996481,0.5643116465552434,0.591884018557579,0.680993666545261,0.46761155202415017,0.616368249679636,0.5212041444333723
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 4,0.566783954961295,0.5648187268815686,0.5707794354763109,0.6622085857961195,0.4679057877787224,0.6092388341846536,0.5136128916043001
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 5,0.5746657283603096,0.5830269054762801,0.5645292109584746,0.6493997257399589,0.49407152537911864,0.6138858331982344,0.5261870536631152
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 1,0.5688951442646024,0.5632145415222081,0.5781054851799319,0.6856168026854041,0.44765245512543705,0.6183039889588741,0.5044471135621286
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 2,0.5684729064039409,0.5572412808272428,0.5875590206598499,0.6827886540651924,0.4542611310706436,0.613221488092419,0.511686080858871
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 3,0.5725545390570022,0.5689192893703304,0.5807989024860893,0.6783173211181246,0.463541026427011,0.6179773329496482,0.5141226288257709
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 4,0.5669247009148486,0.5651117221002129,0.5726629980005118,0.6706717898849045,0.4600212742794129,0.612379264843349,0.5084906140873169
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 5,0.5708655876143561,0.5696515796371557,0.5743744315959877,0.6726008712564648,0.465182674096262,0.6162582504061301,0.5131855326173749
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 1,0.569317382125264,0.5720408947737716,0.5664718942161759,0.6485147055060094,0.4860705303455994,0.6075210370586568,0.5227061047159571
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 2,0.5712878254750177,0.5711833644016079,0.5720314404651943,0.6674562522278384,0.46991086130308773,0.6153713912628166,0.5156471069772455
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 3,0.5781843771991555,0.5854210854604656,0.5673434129145641,0.6630016104218155,0.4848620406163836,0.6216946255389679,0.5227079825841103
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 4,0.5795918367346939,0.5797509922456104,0.579824054348326,0.6714867576952408,0.4820074696994909,0.6220758917635898,0.5261602349948122
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 5,0.5742434904996481,0.5687405787517305,0.5849004813544953,0.6703002083480071,0.4766166855622346,0.6146021965659288,0.5240979134913066
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 1,0.5659394792399718,0.5682664717124085,0.5637877986051963,0.6573431314825714,0.4701563442184001,0.6090112507535677,0.5119651541638812
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 2,0.5726952850105559,0.5688514349790383,0.5787682382428821,0.6760444962351825,0.46496466682537596,0.6177149194280608,0.5155213942958559
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 3,0.5798733286418016,0.5776078859675133,0.5835540170091396,0.6703382976815396,0.48513218114403645,0.6203343087167303,0.5295639621123034
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 4,0.5721323011963406,0.5634242349204652,0.5858871348037542,0.6735375904358378,0.46925017877901504,0.6133994544959679,0.5208590654597802
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 5,0.575228712174525,0.5698516551434224,0.5860045360662798,0.6784016644941818,0.47016414711450294,0.6185856210420579,0.5204812094583191
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 1,0.5783251231527093,0.5675802506318338,0.5955854693156621,0.6901065496812454,0.46469319879597376,0.6227671411726315,0.5218937979515552
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 2,0.5697396199859254,0.5658511186871803,0.575631342852391,0.6638639911699952,0.4724227357850722,0.6108596874266738,0.5188033295030897
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 3,0.5679099225897255,0.5729485461206423,0.5616614328312762,0.6453398352152522,0.4858897508553247,0.6066632520536674,0.5205961004185597
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 4,0.5719915552427868,0.5635036065699576,0.5858794266354355,0.6855543170977064,0.45577789272168473,0.6184736963258836,0.5125514736010272
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 5,0.568332160450387,0.5549996476902072,0.5909362952916134,0.6923904096010695,0.4444913309683728,0.6159692803922698,0.5071437565532699
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 5 min_samples_leaf: 1,0.5712878254750177,0.570776649107073,0.5734829652973462,0.6652196025021413,0.47320101019738736,0.6139100169257985,0.5178740523231187
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 5 min_samples_leaf: 2,0.5715693173821252,0.5695989534812798,0.575049860444978,0.6488951088834278,0.49200517887082,0.6063777790798875,0.5298874505858512
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 5 min_samples_leaf: 3,0.5738212526389866,0.5698682975462371,0.5801661439441548,0.6604723576571226,0.484696893013797,0.6115260287736732,0.5277167619574221
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 5 min_samples_leaf: 4,0.5718508092892329,0.5634585739786118,0.5847616651108529,0.6775459167197676,0.46356017600894484,0.6151891678486756,0.5170356332488131
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 5 min_samples_leaf: 5,0.5638282899366643,0.5531984093959604,0.5806239554880861,0.6694147764722219,0.45834940992205453,0.6056082905594259,0.5120522145321603
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 2 min_samples_leaf: 1,0.5650950035186488,0.5582886313920418,0.5770683396398255,0.6749979556998758,0.45343461579034383,0.610729551607838,0.5072723209757755
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 2 min_samples_leaf: 2,0.5676284306826179,0.5647122885376341,0.5731629258767044,0.668975087500643,0.4623423448294573,0.6121156262542883,0.5112818507227435
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 2 min_samples_leaf: 3,0.5648135116115413,0.563573596681034,0.5705064492803228,0.6623013904856874,0.4662681200363051,0.6075840019968337,0.5110754200482935
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 2 min_samples_leaf: 4,0.5655172413793104,0.5661604811200662,0.5652576980100827,0.6542547152751828,0.4724603834075203,0.6067690131464968,0.5143091964477351
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 2 min_samples_leaf: 5,0.5669247009148487,0.5669656213333467,0.5673959393291931,0.650745415482338,0.4795861243100674,0.6057201808979353,0.5194784731259514
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 3 min_samples_leaf: 1,0.5798733286418015,0.5817777942201251,0.5785088498356791,0.6525307183279059,0.5040208865208766,0.6145704242194598,0.5378700840136676
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 3 min_samples_leaf: 2,0.5715693173821252,0.5710552379123417,0.5728372160952255,0.6549762377950356,0.48451304512372007,0.6098856117875446,0.5245745224353378
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 3 min_samples_leaf: 3,0.5681914144968332,0.5648964885996495,0.5745814384936472,0.6664093632321666,0.46740610939885946,0.6109374312345164,0.5147601246318196
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 3 min_samples_leaf: 4,0.5694581280788177,0.5731263148761354,0.5653490065304208,0.6509277022342446,0.48330683606394853,0.6091028736491657,0.5204794251174893
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 3 min_samples_leaf: 5,0.559042927515834,0.5607030228438742,0.5573454939634533,0.6502391611164461,0.4636873468026982,0.6018140149886826,0.505710390554434
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 4 min_samples_leaf: 1,0.5629838142153414,0.5568599034181843,0.5730777010676006,0.6708469967121357,0.45240410054769314,0.6082327604856899,0.5050173291692692
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 4 min_samples_leaf: 2,0.5603096410978184,0.5607009676711954,0.5611034495267466,0.6434297736380717,0.4746042046221609,0.598674162112496,0.5134622277774147
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 4 min_samples_leaf: 3,0.5698803659394792,0.5655374518712395,0.5766715242412087,0.6598363667506006,0.47732637349639495,0.6088338366458939,0.5219143800074434
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 4 min_samples_leaf: 4,0.5663617171006334,0.5681740713568261,0.5671207186569678,0.6611824002965029,0.4678544855130381,0.6101550338873767,0.5111220315486875
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 4 min_samples_leaf: 5,0.5652357494722027,0.5630412798829071,0.5703733851882479,0.6606841951474014,0.46715211463149203,0.6073406257850402,0.5127479592753951
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 5 min_samples_leaf: 1,0.580295566502463,0.5784696133693672,0.5848045671986565,0.6677368822707047,0.4895325951992828,0.6192869492232453,0.5319736656286844
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 5 min_samples_leaf: 2,0.5645320197044335,0.5627628073125693,0.5669772356876851,0.6571076573583229,0.4680342611515929,0.6061912779294163,0.512665157466371
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 5 min_samples_leaf: 3,0.5718508092892329,0.5750088240223137,0.5672600184540759,0.6619537161577634,0.475224545997054,0.6153828253544542,0.5171149113193463
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 5 min_samples_leaf: 4,0.5763546798029557,0.5684085494751113,0.5896465001892356,0.6756476983221559,0.47592813019988106,0.6169586770881004,0.5260871680084945
Random Forest,window_size: 0  max_depth: 7 min_samples_split: 5 min_samples_leaf: 5,0.5748064743138634,0.5844378411363768,0.5612790517374748,0.655468089337678,0.4860209137903969,0.6178328667277265,0.5208200985475012
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 2 min_samples_leaf: 1,0.559746657283603,0.5699740972078985,0.5471750606281878,0.6300263001123925,0.48433194374965377,0.5980642076391228,0.5132740180675615
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 2 min_samples_leaf: 2,0.563265306122449,0.5676623160739742,0.5582144643727214,0.6382278719407611,0.48429877208068195,0.6004949449868844,0.5180783203565229
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 2 min_samples_leaf: 3,0.5700211118930331,0.5728433150703791,0.5667908473339633,0.6550651649943005,0.4802240678035661,0.6108481992226612,0.519444466572755
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 2 min_samples_leaf: 4,0.5631245601688951,0.5647234101260021,0.5614641812246932,0.6345910481943425,0.48868824515929904,0.5974275101781391,0.5222919543974507
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 2 min_samples_leaf: 5,0.5715693173821252,0.5779094994763516,0.5627390232601903,0.6470253096142303,0.4901728536420129,0.6104722541019427,0.523892516968273
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 3 min_samples_leaf: 1,0.5639690358902181,0.5612151319836804,0.5690808137660449,0.6545940494026052,0.4708576492569089,0.6038671989622724,0.5145817601643914
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 3 min_samples_leaf: 2,0.5670654468684024,0.5598036674670646,0.5780653114139478,0.660979213941492,0.4717305380177028,0.6060550048841049,0.519307635645884
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 3 min_samples_leaf: 3,0.5639690358902181,0.5539010359503074,0.5804896445582035,0.672797428406723,0.455156213534549,0.6072431625490469,0.5097058931460196
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 3 min_samples_leaf: 4,0.5625615763546798,0.5686833136051663,0.5546884360443075,0.6473515330290136,0.472154628609651,0.6051015691516959,0.5095572308264968
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 3 min_samples_leaf: 5,0.5680506685432793,0.5655886738553724,0.5724524980430787,0.6712384286181188,0.4605172271037029,0.6136778219447528,0.5100996559541574
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 4 min_samples_leaf: 1,0.5594651653764954,0.5563591553275901,0.5640559954354745,0.6538725752323051,0.46204316323049766,0.6011463113668121,0.5079218971212554
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 4 min_samples_leaf: 2,0.5704433497536946,0.5665135312062096,0.5768347270267594,0.6474412537274742,0.49216352994374707,0.6039111269461441,0.5306541024573204
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 4 min_samples_leaf: 3,0.5650950035186488,0.5657190251449158,0.5658168872475461,0.654164364028529,0.4724146582598139,0.6060787254439497,0.513867127786532
Random Forest,window_size: 0  max_depth: 8 min_samples_split: 4 min_samples_leaf: 4,0.5762139338494018,0.573779621807055,0.5804195177151262,0.6691661500294869,0.47924058542468806,0.617554294638494,0.5246185471631615
